row_id,gate_name,degeneracy,barrier,p_gate,p_mem,tau,err_truth,err_induced,H_out_given_in,rm_output
59,cnot,3,2,0.1,0.00676676416183,4,0.5,0.300705822773,0.882151981143,5.6898930012e-16
60,cnot,3,6,0,0.000123937608833,1,0,0,0,1
61,cnot,3,6,0,0.000123937608833,2,0.5,0.000123937608833,0.0017872675684,5.55247037584e-17
62,cnot,3,6,0,0.000123937608833,4,0.5,0.000247844496605,0.00332626978416,2.22071709979e-16
63,cnot,3,6,0.02,0.000123937608833,1,0.02,0.02,0.141440542542,0.96
64,cnot,3,6,0.02,0.000123937608833,2,0.5,0.0393142209003,0.239139034326,1.17961196366e-16
65,cnot,3,6,0.02,0.000123937608833,4,0.5,0.0755372258706,0.386255720021,4.02455846427e-16
66,cnot,3,6,0.05,0.000123937608833,1,0.05,0.05,0.286396957116,0.9
67,cnot,3,6,0.05,0.000123937608833,2,0.5,0.0951003894632,0.453268921997,3.1918911958e-16
68,cnot,3,6,0.05,0.000123937608833,4,0.5,0.172112610774,0.662514795471,2.63677968348e-16
69,cnot,3,6,0.1,0.000123937608833,1,0.1,0.1,0.468995593589,0.8
70,cnot,3,6,0.1,0.000123937608833,2,0.5,0.18007932007,0.68025053771,1.11022302463e-16
71,cnot,3,6,0.1,0.000123937608833,4,0.5,0.295301517106,0.875471450864,2.77555756156e-16
72,not,3,0,0,0.05,1,0,0,0,0.19
73,not,3,0,0,0.05,2,0.05,0.05,0.286396957116,0.171
74,not,3,0,0,0.05,4,0.1355,0.1355,0.572331287735,0.13851
75,not,3,0,0.02,0.05,1,0.02,0.02,0.141440542542,0.24336384
76,not,3,0,0.02,0.05,2,0.068,0.068,0.358415324639,0.219027456
77,not,3,0,0.02,0.05,4,0.15008,0.15008,0.61004046854,0.17741223936
78,not,3,0,0.05,0.05,1,0.05,0.05,0.286396957116,0.30951
79,not,3,0,0.05,0.05,2,0.095,0.095,0.452942548187,0.278559
80,not,3,0,0.05,0.05,4,0.17195,0.17195,0.66214617227,0.22563279
81,not,3,0,0.1,0.05,1,0.1,0.1,0.468995593589,0.38528
82,not,3,0,0.1,0.05,2,0.14,0.14,0.584238811643,0.346752
83,not,3,0,0.1,0.05,4,0.2084,0.2084,0.738413246668,0.28086912
84,not,3,2,0,0.00676676416183,1,5.55111512313e-17,5.55111512313e-17,3.02217667785e-15,0.0268839002584
85,not,3,2,0,0.00676676416183,2,0.00676676416183,0.00676676416183,0.0584994948333,0.0265200662328
86,not,3,2,0,0.00676676416183,4,0.0200267972782,0.0200267972782,0.141590975067,0.0258071034174
87,not,3,2,0.02,0.00676676416183,1,0.02,0.02,0.141440542542,0.099049154379
88,not,3,2,0.02,0.00676676416183,2,0.0264960935954,0.0264960935954,0.176503398587,0.0977086698428
89,not,3,2,0.02,0.00676676416183,4,0.0392257253871,0.0392257253871,0.238730837013,0.0950818797084
90,not,3,2,0.05,0.00676676416183,1,0.05,0.05,0.286396957116,0.190598363288
91,not,3,2,0.05,0.00676676416183,2,0.0560900877456,0.0560900877456,0.311724393262,0.18801889494
92,not,3,2,0.05,0.00676676416183,4,0.0680241175504,0.0680241175504,0.358506403334,0.182964213722
93,not,3,2,0.1,0.00676676416183,1,0.1,0.1,0.468995593589,0.301764556932
94,not,3,2,0.1,0.00676676416183,2,0.105413411329,0.105413411329,0.485924489804,0.297680617754
95,not,3,2,0.1,0.00676676416183,4,0.116021437823,0.116021437823,0.517815434631,0.289677801717
96,not,3,6,0,0.000123937608833,1,0,0,0,0.00049568899321
