p_leak,tau,lens_type,lens_id,rm,stability,error
0.02,4,random,11,0.001769472,0.5,0.495
0.02,4,random,12,0.001769472,0.5,0.495
0.02,4,random,13,0,0.92467328,0.07532672
0.02,4,random,14,0.001769472,0.5,0.495
0.02,4,random,15,0.001769472,0.5,0.495
0.02,4,random,16,0.001769472,0.5,0.495
0.02,4,random,17,0.001769472,0.5,0.495
0.02,4,random,18,0.00884736,0.5,0.499
0.02,4,random,19,0,0.92467328,0.07532672
0.02,4,random,2,0.00884736,0.5,0.499
0.02,4,random,20,0.00884736,0.5,0.499
0.02,4,random,21,0,0.92467328,0.07532672
0.02,4,random,22,0.001769472,0.5,0.495
0.02,4,random,23,0,0.92467328,0.07532672
0.02,4,random,24,0.001769472,0.5,0.495
0.02,4,random,25,0.001769472,0.5,0.495
0.02,4,random,26,0.001769472,0.5,0.495
0.02,4,random,27,0,0.92467328,0.07532672
0.02,4,random,28,0.00884736,0.5,0.499
0.02,4,random,29,0.001769472,0.5,0.495
0.02,4,random,3,0,0.92467328,0.07532672
0.02,4,random,30,0.00884736,0.5,0.499
0.02,4,random,31,0.00884736,0.5,0.499
0.02,4,random,32,0.001769472,0.5,0.495
0.02,4,random,33,0,0.92467328,0.07532672
0.02,4,random,34,0.001769472,0.5,0.495
0.02,4,random,35,0.001769472,0.5,0.495
0.02,4,random,36,0.00884736,0.5,0.499
0.02,4,random,37,0,0.92467328,0.07532672
0.02,4,random,38,0.00884736,0.5,0.499
0.02,4,random,39,0,0.92467328,0.07532672
0.02,4,random,4,0.00884736,0.5,0.499
0.02,4,random,40,0,0.92467328,0.07532672
0.02,4,random,41,0.00884736,0.5,0.499
0.02,4,random,42,0.001769472,0.5,0.495
0.02,4,random,43,0.00884736,0.5,0.499
0.02,4,random,44,0,0.92467328,0.07532672
0.02,4,random,45,0.00884736,0.5,0.499
0.02,4,random,46,0,0.92467328,0.07532672
0.02,4,random,47,0.00884736,0.5,0.499
0.02,4,random,48,0.00884736,0.5,0.499
0.02,4,random,49,0,0.92467328,0.07532672
0.02,4,random,5,0,0.92467328,0.07532672
0.02,4,random,50,0.001769472,0.5,0.495
0.02,4,random,51,0.00884736,0.5,0.499
0.02,4,random,52,0,0.92467328,0.07532672
0.02,4,random,53,0.001769472,0.5,0.495
0.02,4,random,54,0.001769472,0.5,0.495
0.02,4,random,55,0.00884736,0.5,0.499
0.02,4,random,56,0.001769472,0.5,0.495
0.02,4,random,57,0.00884736,0.5,0.499
0.02,4,random,58,0.001769472,0.5,0.495
0.02,4,random,59,0.001769472,0.5,0.495
0.02,4,random,6,0.001769472,0.5,0.495
0.02,4,random,7,0.001769472,0.5,0.495
0.02,4,random,8,0,0.92467328,0.07532672
0.02,4,random,9,0.001769472,0.5,0.495
0.05,1,and,,0.293333333333,0.7325,0.328333333333
0.05,1,parity,,1.11022302463e-16,0.95,0.05
0.05,1,random,0,0.025,0.5,0.4975
0.05,1,random,1,0.005,0.5,0.4875
0.05,1,random,10,1.11022302463e-16,0.95,0.05
0.05,1,random,11,0.005,0.5,0.4875
0.05,1,random,12,0.005,0.5,0.4875
0.05,1,random,13,0.025,0.5,0.4975
0.05,1,random,14,1.11022302463e-16,0.95,0.05
0.05,1,random,15,1.11022302463e-16,0.95,0.05
0.05,1,random,16,0.025,0.5,0.4975
0.05,1,random,17,1.11022302463e-16,0.95,0.05
0.05,1,random,18,1.11022302463e-16,0.95,0.05
0.05,1,random,19,0.005,0.5,0.4875
0.05,1,random,2,0.005,0.5,0.4875
0.05,1,random,20,1.11022302463e-16,0.95,0.05
0.05,1,random,21,0.025,0.5,0.4975
0.05,1,random,22,1.11022302463e-16,0.95,0.05
0.05,1,random,23,1.11022302463e-16,0.95,0.05
0.05,1,random,24,0.005,0.5,0.4875
0.05,1,random,25,0.025,0.5,0.4975
0.05,1,random,26,0.025,0.5,0.4975
0.05,1,random,27,1.11022302463e-16,0.95,0.05
0.05,1,random,28,0.005,0.5,0.4875
0.05,1,random,29,1.11022302463e-16,0.95,0.05
0.05,1,random,3,1.11022302463e-16,0.95,0.05
0.05,1,random,30,0.005,0.5,0.4875
0.05,1,random,31,0.005,0.5,0.4875
0.05,1,random,32,0.025,0.5,0.4975
0.05,1,random,33,1.11022302463e-16,0.95,0.05
0.05,1,random,34,0.005,0.5,0.4875
0.05,1,random,35,1.11022302463e-16,0.95,0.05
0.05,1,random,36,0.025,0.5,0.4975
0.05,1,random,37,0.025,0.5,0.4975
0.05,1,random,38,1.11022302463e-16,0.95,0.05
0.05,1,random,39,1.11022302463e-16,0.95,0.05
0.05,1,random,4,1.11022302463e-16,0.95,0.05
0.05,1,random,40,1.11022302463e-16,0.95,0.05
0.05,1,random,41,0.005,0.5,0.4875
0.05,1,random,42,0.005,0.5,0.4875
0.05,1,random,43,0.005,0.5,0.4875
0.05,1,random,44,1.11022302463e-16,0.95,0.05
0.05,1,random,45,1.11022302463e-16,0.95,0.05
0.05,1,random,46,0.025,0.5,0.4975
0.05,1,random,47,1.11022302463e-16,0.95,0.05
0.05,1,random,48,1.11022302463e-16,0.95,0.05
0.05,1,random,49,0.005,0.5,0.4875
0.05,1,random,5,1.11022302463e-16,0.95,0.05
0.05,1,random,50,0.025,0.5,0.4975
0.05,1,random,51,0.025,0.5,0.4975
0.05,1,random,52,0.005,0.5,0.4875
0.05,1,random,53,0.005,0.5,0.4875
0.05,1,random,54,0.025,0.5,0.4975
0.05,1,random,55,0.005,0.5,0.4875
0.05,1,random,56,0.005,0.5,0.4875
0.05,1,random,57,0.005,0.5,0.4875
0.05,1,random,58,1.11022302463e-16,0.95,0.05
0.05,1,random,59,0.005,0.5,0.4875
0.05,1,random,6,0.025,0.5,0.4975
0.05,1,random,7,1.11022302463e-16,0.95,0.05
0.05,1,random,8,0.025,0.5,0.4975
0.05,1,random,9,0.005,0.5,0.4875
0.05,2,and,,0.264,0.7215,0.321
0.05,2,parity,,1.11022302463e-16,0.905,0.095
0.05,2,random,0,0.0225,0.5,0.4975
0.05,2,random,1,1.11022302463e-16,0.905,0.095
0.05,2,random,10,0.0225,0.5,0.4975
0.05,2,random,11,1.11022302463e-16,0.905,0.095
0.05,2,random,12,0.0045,0.5,0.4875
0.05,2,random,13,1.11022302463e-16,0.905,0.095
0.05,2,random,14,0.0045,0.5,0.4875
0.05,2,random,15,0.0045,0.5,0.4875
0.05,2,random,16,1.11022302463e-16,0.905,0.095
0.05,2,random,17,1.11022302463e-16,0.905,0.095
0.05,2,random,18,0.0225,0.5,0.4975
0.05,2,random,19,0.0225,0.5,0.4975
0.05,2,random,2,0.0225,0.5,0.4975
