p_leak,tau,lens_type,lens_id,rm,stability,error
0.2,1,random,15,0.02,0.5,0.45
0.2,1,random,16,0.1,0.5,0.49
0.2,1,random,17,0.02,0.5,0.45
0.2,1,random,18,0,0.8,0.2
0.2,1,random,19,0,0.8,0.2
0.2,1,random,2,0.1,0.5,0.49
0.2,1,random,20,0.02,0.5,0.45
0.2,1,random,21,0.1,0.5,0.49
0.2,1,random,22,0,0.8,0.2
0.2,1,random,23,0,0.8,0.2
0.2,1,random,24,0.1,0.5,0.49
0.2,1,random,25,0.1,0.5,0.49
0.2,1,random,26,0.1,0.5,0.49
0.2,1,random,27,0,0.8,0.2
0.2,1,random,28,0.1,0.5,0.49
0.2,1,random,29,0.02,0.5,0.45
0.2,1,random,3,0.1,0.5,0.49
0.2,1,random,30,0.1,0.5,0.49
0.2,1,random,31,0.1,0.5,0.49
0.2,1,random,32,0,0.8,0.2
0.2,1,random,33,0.1,0.5,0.49
0.2,1,random,34,0.02,0.5,0.45
0.2,1,random,35,0.1,0.5,0.49
0.2,1,random,36,0,0.8,0.2
0.2,1,random,37,0.1,0.5,0.49
0.2,1,random,38,0.1,0.5,0.49
0.2,1,random,39,0.02,0.5,0.45
0.2,1,random,4,0,0.8,0.2
0.2,1,random,40,0,0.8,0.2
0.2,1,random,41,0.1,0.5,0.49
0.2,1,random,42,0.02,0.5,0.45
0.2,1,random,43,0,0.8,0.2
0.2,1,random,44,0.1,0.5,0.49
0.2,1,random,45,0,0.8,0.2
0.2,1,random,46,0.02,0.5,0.45
0.2,1,random,47,0,0.8,0.2
0.2,1,random,48,0,0.8,0.2
0.2,1,random,49,0.02,0.5,0.45
0.2,1,random,5,0.02,0.5,0.45
0.2,1,random,50,0.1,0.5,0.49
0.2,1,random,51,0.02,0.5,0.45
0.2,1,random,52,0,0.8,0.2
0.2,1,random,53,0.02,0.5,0.45
0.2,1,random,54,0.1,0.5,0.49
0.2,1,random,55,0.1,0.5,0.49
0.2,1,random,56,0,0.8,0.2
0.2,1,random,57,0.02,0.5,0.45
0.2,1,random,58,0,0.8,0.2
0.2,1,random,59,0.1,0.5,0.49
0.2,1,random,6,0.02,0.5,0.45
0.2,1,random,7,0.02,0.5,0.45
0.2,1,random,8,0.02,0.5,0.45
0.2,1,random,9,0,0.8,0.2
0.2,2,and,,0.104,0.654,0.296
0.2,2,parity,,1.38777878078e-16,0.68,0.32
0.2,2,random,0,0.06,0.5,0.49
0.2,2,random,1,0.012,0.5,0.45
0.2,2,random,10,0.06,0.5,0.49
0.2,2,random,11,0.06,0.5,0.49
0.2,2,random,12,0.012,0.5,0.45
0.2,2,random,13,0.012,0.5,0.45
0.2,2,random,14,0.06,0.5,0.49
0.2,2,random,15,0.012,0.5,0.45
0.2,2,random,16,0.06,0.5,0.49
0.2,2,random,17,1.38777878078e-16,0.68,0.32
0.2,2,random,18,0.06,0.5,0.49
0.2,2,random,19,0.06,0.5,0.49
0.2,2,random,2,1.38777878078e-16,0.68,0.32
0.2,2,random,20,0.012,0.5,0.45
0.2,2,random,21,0.06,0.5,0.49
0.2,2,random,22,1.38777878078e-16,0.68,0.32
0.2,2,random,23,0.06,0.5,0.49
0.2,2,random,24,0.06,0.5,0.49
0.2,2,random,25,1.38777878078e-16,0.68,0.32
0.2,2,random,26,0.012,0.5,0.45
0.2,2,random,27,0.06,0.5,0.49
0.2,2,random,28,0.06,0.5,0.49
0.2,2,random,29,1.38777878078e-16,0.68,0.32
0.2,2,random,3,0.06,0.5,0.49
0.2,2,random,30,0.06,0.5,0.49
0.2,2,random,31,1.38777878078e-16,0.68,0.32
0.2,2,random,32,1.38777878078e-16,0.68,0.32
0.2,2,random,33,0.012,0.5,0.45
0.2,2,random,34,1.38777878078e-16,0.68,0.32
0.2,2,random,35,1.38777878078e-16,0.68,0.32
0.2,2,random,36,0.012,0.5,0.45
0.2,2,random,37,0.012,0.5,0.45
0.2,2,random,38,0.06,0.5,0.49
0.2,2,random,39,0.06,0.5,0.49
0.2,2,random,4,0.012,0.5,0.45
0.2,2,random,40,1.38777878078e-16,0.68,0.32
0.2,2,random,41,0.012,0.5,0.45
0.2,2,random,42,1.38777878078e-16,0.68,0.32
0.2,2,random,43,0.012,0.5,0.45
0.2,2,random,44,1.38777878078e-16,0.68,0.32
0.2,2,random,45,0.06,0.5,0.49
0.2,2,random,46,0.06,0.5,0.49
0.2,2,random,47,1.38777878078e-16,0.68,0.32
0.2,2,random,48,1.38777878078e-16,0.68,0.32
0.2,2,random,49,0.06,0.5,0.49
0.2,2,random,5,0.012,0.5,0.45
0.2,2,random,50,1.38777878078e-16,0.68,0.32
0.2,2,random,51,1.38777878078e-16,0.68,0.32
0.2,2,random,52,0.012,0.5,0.45
0.2,2,random,53,1.38777878078e-16,0.68,0.32
0.2,2,random,54,0.012,0.5,0.45
0.2,2,random,55,1.38777878078e-16,0.68,0.32
0.2,2,random,56,0.06,0.5,0.49
0.2,2,random,57,0.06,0.5,0.49
0.2,2,random,58,0.012,0.5,0.45
0.2,2,random,59,0.012,0.5,0.45
0.2,2,random,6,1.38777878078e-16,0.68,0.32
0.2,2,random,7,1.38777878078e-16,0.68,0.32
0.2,2,random,8,0.06,0.5,0.49
0.2,2,random,9,0.06,0.5,0.49
0.2,4,and,,0.03744,0.62904,0.27936
0.2,4,parity,,2.77555756156e-17,0.5648,0.4352
0.2,4,random,0,2.77555756156e-17,0.5648,0.4352
0.2,4,random,1,0.0216,0.5,0.49
0.2,4,random,10,0.00432,0.5,0.45
0.2,4,random,11,0.0216,0.5,0.49
0.2,4,random,12,2.77555756156e-17,0.5648,0.4352
0.2,4,random,13,0.00432,0.5,0.45
0.2,4,random,14,0.00432,0.5,0.45
0.2,4,random,15,0.00432,0.5,0.45
0.2,4,random,16,0.00432,0.5,0.45
0.2,4,random,17,0.0216,0.5,0.49
0.2,4,random,18,2.77555756156e-17,0.5648,0.4352
0.2,4,random,19,0.0216,0.5,0.49
0.2,4,random,2,0.0216,0.5,0.49
0.2,4,random,20,2.77555756156e-17,0.5648,0.4352
0.2,4,random,21,0.0216,0.5,0.49
0.2,4,random,22,2.77555756156e-17,0.5648,0.4352
0.2,4,random,23,0.00432,0.5,0.45
0.2,4,random,24,0.0216,0.5,0.49
0.2,4,random,25,0.0216,0.5,0.49
0.2,4,random,26,0.00432,0.5,0.45
0.2,4,random,27,2.77555756156e-17,0.5648,0.4352
0.2,4,random,28,2.77555756156e-17,0.5648,0.4352
0.2,4,random,29,0.0216,0.5,0.49
0.2,4,random,3,2.77555756156e-17,0.5648,0.4352
0.2,4,random,30,0.00432,0.5,0.45
0.2,4,random,31,0.0216,0.5,0.49
0.2,4,random,32,0.00432,0.5,0.45
0.2,4,random,33,0.00432,0.5,0.45
0.2,4,random,34,0.00432,0.5,0.45
0.2,4,random,35,0.0216,0.5,0.49
0.2,4,random,36,0.0216,0.5,0.49
0.2,4,random,37,0.0216,0.5,0.49
0.2,4,random,38,0.00432,0.5,0.45
0.2,4,random,39,0.00432,0.5,0.45
0.2,4,random,4,0.00432,0.5,0.45
0.2,4,random,40,2.77555756156e-17,0.5648,0.4352
0.2,4,random,41,0.00432,0.5,0.45
0.2,4,random,42,0.0216,0.5,0.49
0.2,4,random,43,0.00432,0.5,0.45
0.2,4,random,44,2.77555756156e-17,0.5648,0.4352
0.2,4,random,45,0.0216,0.5,0.49
0.2,4,random,46,0.0216,0.5,0.49
0.2,4,random,47,0.0216,0.5,0.49
0.2,4,random,48,2.77555756156e-17,0.5648,0.4352
0.2,4,random,49,0.00432,0.5,0.45
0.2,4,random,5,0.00432,0.5,0.45
0.2,4,random,50,2.77555756156e-17,0.5648,0.4352
0.2,4,random,51,0.00432,0.5,0.45
0.2,4,random,52,2.77555756156e-17,0.5648,0.4352
0.2,4,random,53,2.77555756156e-17,0.5648,0.4352
0.2,4,random,54,0.0216,0.5,0.49
0.2,4,random,55,2.77555756156e-17,0.5648,0.4352
0.2,4,random,56,0.0216,0.5,0.49
0.2,4,random,57,0.00432,0.5,0.45
0.2,4,random,58,0.00432,0.5,0.45
0.2,4,random,59,2.77555756156e-17,0.5648,0.4352
0.2,4,random,6,0.0216,0.5,0.49
0.2,4,random,7,0.00432,0.5,0.45
0.2,4,random,8,0.00432,0.5,0.45
0.2,4,random,9,0.00432,0.5,0.45
