rank,lab_name,threshold,eigenvalue2,score,metastability,rm,size0,size1,agreement_to_truth
1,not,1.5022705302e-14,0.999966480985,0.999983226869,0.999983226869,5.55128452972e-17,6,6,1
2,not,0.0407913154256,0.999966480985,0.990028101404,0.996661134637,0.00663303323302,5,7,0.916666666667
3,not,0.223498301253,0.999966480985,0.970448192821,0.990083725304,0.0196355324829,9,3,0.75
4,not,-0.223498301253,0.999966480985,0.970448192821,0.990083725304,0.0196355324829,9,3,0.75
5,not,0.406205287081,0.999966480985,0.440668665291,0.775596419617,0.334927754326,10,2,0.666666666667
